Taxon	R009_14d	R009_30d	R009_7d	R009_before	Genus	mean_relative_abundance
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus	0.0099209507135657	0.0025662081708068	0.0	0.0021260861527084	Coprococcus	0.0036533112592702244
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Intestinibacter	0.0028118202557164	0.0029254773147197	0.0085902942496313	0.0002310963209465	Intestinibacter	0.0036396720352534755
d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae_UCG-003	0.0046156294763647	0.0042599055635393	0.0034617603692544	0.0006932889628397	Erysipelotrichaceae_UCG-003	0.003257646092999525
d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	0.0	0.0059536029562718	0.0060260273094429	0.0	Bilophila	0.002994907566428675
d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridia_UCG-014;f__Incertae_Sedis;g__Incertae_Sedis	0.0	0.0	0.0	0.0106304307635422	Incertae_Sedis	0.00265760769088555
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__Incertae_Sedis	0.0042973102021327	0.0033873947854649	0.0	0.0026344980587909	Incertae_Sedis	0.002579800761597125
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster	0.0014324367340442	0.0059536029562718	0.0026924802871978	0.0002310963209465	Enterocloster	0.002577404074615075
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter	0.0	0.000769862451242	0.0058978139624334	0.0028655943797374	Odoribacter	0.0023833176983532
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	0.0	0.0	0.0	0.00942872989462	Parabacteroides	0.002357182473655
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum	0.0023873945567404	0.0056456579757749	0.0007692800820565	0.0	Agathobaculum	0.00220058315364295
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	0.0040320441402726	0.0	0.0038464004102827	0.0002310963209465	Collinsella	0.00202738521787545
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum	0.0	0.0	0.0	0.0075337400628581	Anaerobutyricum	0.001883435015714525
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group	0.0	0.0	0.0	0.0061471621371787	Lachnospiraceae_NK4A136_group	0.001536790534294675
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Acutalibacter	0.0	0.0020016423732293	0.001987306878646	0.0012941393973007	Acutalibacter	0.0013207721622939999
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010	0.0009549578226961	0.003797988092794	0.0	0.0	Lachnospiraceae_UCG-010	0.001188236478872525
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia	0.0	0.0043112297269554	0.0	0.0	Romboutsia	0.00107780743173885
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ruminantium_group	0.0	0.0	0.0	0.0042521723054168	[Eubacterium]_ruminantium_group	0.0010630430763542
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium	0.0009019046103241	0.0010778074317388	0.0017949868581319	0.0004621926418931	Ruthenibacterium	0.001059222885521975
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella	0.0020160220701363	0.0	0.001987306878646	0.0	Hungatella	0.001000832237195575
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas	0.0009549578226961	0.0	0.0009616001025706	0.0016176742466259	Butyricimonas	0.00088355804297315
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia	0.0013263303093002	0.0	0.0020514135521507	0.0	Marvinbryantia	0.000844435965362725
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gauvreauii_group	0.0	0.0	0.0	0.0030042521723054	[Ruminococcus]_gauvreauii_group	0.00075106304307635
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004	0.0	0.0003592691439129	0.0019232002051413	0.0001386577925679	Lachnospiraceae_UCG-004	0.000605281785405525
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005	0.0	0.0	0.0	0.0022647439452763	UCG-005	0.000566185986319075
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter	0.0	0.0021556148634777	0.0	0.0	Butyribacter	0.000538903715869425
d__Bacteria;p__Bacillota;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus	0.0	0.0007185382878259	0.0	0.0013403586614901	Monoglobus	0.000514724237329
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas	0.0	0.0	0.0	0.001479016454058	Intestinimonas	0.0003697541135145
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter	0.0	0.0	0.0	0.0014327971898687	Agathobacter	0.000358199297467175
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__[Eubacterium]_siraeum_group	0.0	0.0	0.0	0.0012941393973007	[Eubacterium]_siraeum_group	0.000323534849325175
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.0	0.0	0.0	0.0012479201331114	Methanobrevibacter	0.00031198003327785
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis	0.0	0.0	0.0	0.0012479201331114	Incertae_Sedis	0.00031198003327785
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella	0.0	0.0	0.0010898134495801	0.0	Eggerthella	0.000272453362395025
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter	0.0007427449732081	0.0	0.0003205333675235	0.0	Gordonibacter	0.0002658195851829
d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella	0.000106106424744	0.0009238349414904	0.0	0.0	Veillonella	0.0002574853415586
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group	0.0	0.0010264832683227	0.0	0.0	Lachnospiraceae_ND3007_group	0.000256620817080675
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group	0.0	0.0009751591049065	0.0	0.0	Lachnospiraceae_FCS020_group	0.000243789776226625
d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group	0.0	0.0	0.0	0.0009243852837862	Christensenellaceae_R-7_group	0.00023109632094655
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia	0.0	0.0	0.0008974934290659	0.0	Slackia	0.000224373357266475
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Senegalimassilia	0.0008488513979521	0.0	0.0	0.0	Senegalimassilia	0.000212212849488025
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum	0.0	0.0	0.0	0.0008319467554076	Subdoligranulum	0.0002079866888519
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;__	0.0	0.0008211866146581	0.0	0.0	Oscillospiraceae	0.000205296653664525
d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania	0.000424425698976	0.0003079449804968	0.0	0.0	Holdemania	0.00018309266986820001
d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	0.0005835853360921	0.0	0.0	0.0	Desulfovibrio	0.000145896334023025
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__UCG-010;g__Incertae_Sedis	0.0	0.0	0.0	0.0004621926418931	Incertae_Sedis	0.000115548160473275
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family_XIII_AD3011_group	0.000424425698976	0.0	0.0	0.0	Family_XIII_AD3011_group	0.000106106424744
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;__;__	0.0	0.0	0.0	0.0002773155851358	Flavobacteriales	6.932889628395e-05
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella	0.0	0.0002566208170806	0.0	0.0	Granulicatella	6.415520427015e-05
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Incertae_Sedis	0.0	0.0002052966536645	0.0	0.0	Incertae_Sedis	5.1324163416125e-05
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella	0.0	0.0	0.0	0.0001848770567572	Rikenella	4.62192641893e-05
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group	0.0	0.0	0.0	0.0001386577925679	NK4A214_group	3.4664448141975e-05
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Incertae_Sedis	0.0	0.0	0.0001282133470094	0.0	Incertae_Sedis	3.205333675235e-05
