Feature ID	Frequency	No. of Samples Observed In
df16a09f3e448ddd3b1ec54066d3081d	155.0	2
16d13ed513218adc8b205a10b716e08c	155.0	1
5fbc483f79cd97d3a7253931f37c33e8	150.0	3
c67445ed68d61f49e41b7bdd1de019fb	148.0	3
8538d07b8c1e8676f9b9c8c242aab14a	147.0	2
efa231614a5eb97a385a5cae7b440348	145.0	3
a443e786f67086749ef29ce0ab494c9e	143.0	1
35cbb315e019e0a8768d4b73862df415	141.0	3
eba6ad448ed6a1fcd744350655065065	133.0	1
8703e95fbf4d5c8fd088fb98382c5703	127.0	1
87c18e8ee3789954404f2c1a35079a09	125.0	1
3219af75ee8056ed06ba81e873b0d0cb	121.0	1
5c4fd1d0cbe7b43a93c2ed9286af0847	120.0	1
a891fb44241e433fa8acf251ef4d328f	113.0	1
5cbba1ec821d0d64b7e66f992ea80a4e	107.0	2
c7e7cbf52b5ade57d3638adcf7cc379a	105.0	1
84f9cf6d08ccc7adb4e945c4fd8be494	102.0	1
1b92901eaf73176b86069084ac8c13e3	92.0	2
f50508546ae13143015f8c4cb976d0e4	92.0	1
16adc68bae4d98a05d6a268956eddf7a	87.0	1
00a96fbd0ac34bfd245f9c24f8737f7d	86.0	1
e335f74033bc634af43ee6baa84fa247	84.0	1
69310a7cff9f6b902cdfd08243784ace	81.0	1
119eea33cb9f505d6a20297d132e792a	79.0	1
96040114b5274bdb987f28c63b6b6b87	75.0	2
43202fe954709a694e31c3a1be7e889b	72.0	1
da8644094f1d480f3b3a6a03a7027ab4	69.0	2
f479c23321346918723839e33a3544f4	66.0	3
61535a40adb8221483821e3984d0b1ac	65.0	1
a730ef0685ea600be854be1842a6b362	62.0	1
edc9e5c16e40aff1eadce6597940f08f	60.0	3
8aaed79d6563ff7925c774e39b662a14	57.0	2
b1f0b65b560701f74c4f43db4234d6c9	57.0	1
7ee3e4343242684ba3ce459672348ff7	56.0	1
aae4c4ed528ae16ec417df816699cfdb	49.0	1
b20abc2c16ea643f1fe7ceb2e5db9d45	49.0	1
664667183a91ac47de4771fa5456a698	45.0	1
45c80843dac191f771b11018ff90d94c	45.0	1
d71feb1923fa288790187009e8efa6d3	43.0	1
396ffa76286336a3eeb1ea420e60f86b	42.0	1
8be9dac75adfd36649c004c8b72de91d	41.0	1
596db8ce20ae5cbfdc338a62f1bed1d9	39.0	1
dd80e0a50520c9481217ccdf670781a6	38.0	1
1a9df3fbbc7fc8cecec4239cf801d2fc	35.0	2
9192b3275c36e56540678451adfa601f	35.0	1
8795c5a86013864dc11f24b89e8cdd8c	34.0	1
caea322863a57bb2b14c7317fa120dc4	33.0	2
1473d0e067e22f5b3e209940fd4d0645	33.0	1
f98dab4619ff896a9cee45a9b9ddc792	32.0	1
263e41ea2c25dc87bd2ff5910cf30d40	31.0	1
5f25904e073fe5c114cadfde74349518	30.0	1
794c48d1c110499dbd6338457f2ed417	29.0	1
ad139328ba8ac39c2e5ccef543df2deb	28.0	1
54a2bfb0a96adc52c4ccca239ad01466	28.0	1
44396f15b10f6577d61a11c6047c939f	27.0	1
b1d8e09561b600103cc3d8b388c02478	26.0	1
55beed6d1a19ce34788b66488ffe3917	25.0	1
360b8779251bfde96f1165e5202f83d6	22.0	1
fee421dd182111e1d718ac10decab1e9	22.0	1
e0cdaf99e96ca363991154bd1da46a59	22.0	1
92aee485429cadafd7fcb3f531d5746f	22.0	1
3120660c883750285d85c12f7d898f67	21.0	1
923f521b9cf313f1f95c9367e09bbc1c	20.0	2
0243b68c76049aa1b8c51a20333da950	20.0	1
b621d4b3cca1ec89ceca12efca8a94fb	20.0	1
ca72a089674006d2e9cade617df3d5d7	19.0	2
69b90707f6f3da7941026fbe6a1597ce	19.0	1
d611e03044e800bf023cfc92bec2106a	18.0	1
629f41c0de31ba20f5d2b3f4c69e09c1	17.0	1
756e9c33696716a5484135c832f18f12	17.0	1
23d6e67ff377b63cc8506920f662b5a5	17.0	1
1e0296c7b89d1cd0d4d0bc8bf16822fc	16.0	1
860794d17974c0af1d8e6db31030e4b2	16.0	1
b452284fca181520c11d087351ff43df	15.0	1
079fc0fefab05e2a40bba7c0afee5125	15.0	1
6f980c6f3f2ffefd2013c721461cc1c6	14.0	2
149465e40c1bdbc6230588a58a4d6eb0	14.0	1
3114d42cc9f862a2a18d7e5efde7fa9b	14.0	1
2c0c62ea09b2efe01bacdcbcf558d2b8	13.0	1
648e27d07987fd8a8644c5195015c644	12.0	1
8135beec331a8d558070c38b580e4b8e	12.0	1
b354a1e7a29c4f05aace7e65edc75c7f	11.0	1
a5a4b4d58bdd795871acf39629c9e584	11.0	1
c48070f3061b086b60ff32f77e0002fa	10.0	1
a7db077ae09ab481473ac2445474128f	10.0	1
3c47d1756ee2bde5d0607744e6dbd522	10.0	1
c2214f5c48ce111caeeb8f928ca5b648	8.0	1
f0015c3b64e80303ed3d858f0618bc43	8.0	1
4f0c4427ac033405cae2b1941ad35fc6	7.0	1
0b58da331c7b4741e0a2928420d07366	7.0	1
ae94aa5faaa29c5abe3821ae721ab961	6.0	1
81bd97f1008872d045eb6406728f2ab5	5.0	1
2bd9309f2f97cae51d18d06ea1ca519a	5.0	1
8040083ef560188d094279f604df1949	5.0	1
c7710d6f144476667c42e65e2ec71053	4.0	1
a01520ea3588cea2d8cab5c123e67c4c	4.0	1
8c1beed5d3dafa3c0032d71dea2c1fb3	4.0	1
b8941d4f4b5468aca5300b56430b086a	4.0	1
9ef8069a044c54905b98dbec1db5fb5e	3.0	1
e2cfe099d4a73a03ac5f80d4f8369dbc	3.0	1
ebae13dd5cd55be6f118516557814a79	3.0	1
8c87203401ed62bc1289e1fb2b27996d	3.0	1
6668dc0842a4bb869ddd414a0114fd18	3.0	1
097dcdc3c91b5b334c58a38beddfe215	2.0	1
7fea87c380cdf2c7227e3e9781a3e740	2.0	1
9f93db82dc13b078cddf4fe8b0e6a410	2.0	1
